"Data Set 1, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 1, Fl Ex @ 405 nm:Fluorescence","Data Set 2, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 2, Fl Ex @ 405 nm:Fluorescence","Data Set 3, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 3, Fl Ex @ 405 nm:Fluorescence","Data Set 4, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 4, Fl Ex @ 405 nm:Fluorescence","Data Set 5, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 5, Fl Ex @ 405 nm:Fluorescence","Data Set 6, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 6, Fl Ex @ 405 nm:Fluorescence","Data Set 7, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 7, Fl Ex @ 405 nm:Fluorescence","Data Set 8, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 8, Fl Ex @ 405 nm:Fluorescence","Data Set 9, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 9, Fl Ex @ 405 nm:Fluorescence","Data Set 10, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 10, Fl Ex @ 405 nm:Fluorescence"
380.7,-0.001,380.7,-0.001,380.7,-0.000,380.7,0.003,380.7,0.005,380.7,0.006,380.7,0.010,380.7,0.011,380.7,0.002,380.7,0.002
381.5,-0.001,381.5,-0.001,381.5,-0.000,381.5,0.002,381.5,0.004,381.5,0.006,381.5,0.009,381.5,0.011,381.5,0.002,381.5,0.003
382.4,-0.001,382.4,-0.002,382.4,-0.000,382.4,0.001,382.4,0.004,382.4,0.006,382.4,0.009,382.4,0.011,382.4,0.002,382.4,0.003
383.2,-0.001,383.2,-0.001,383.2,0.001,383.2,0.002,383.2,0.004,383.2,0.007,383.2,0.010,383.2,0.011,383.2,0.003,383.2,0.004
384.0,-0.001,384.0,-0.001,384.0,0.000,384.0,0.002,384.0,0.004,384.0,0.008,384.0,0.011,384.0,0.013,384.0,0.004,384.0,0.004
384.8,-0.000,384.8,-0.001,384.8,0.000,384.8,0.004,384.8,0.005,384.8,0.008,384.8,0.012,384.8,0.014,384.8,0.004,384.8,0.005
385.7,-0.000,385.7,-0.001,385.7,-0.000,385.7,0.004,385.7,0.005,385.7,0.008,385.7,0.012,385.7,0.014,385.7,0.004,385.7,0.004
386.5,-0.001,386.5,-0.001,386.5,0.000,386.5,0.004,386.5,0.006,386.5,0.010,386.5,0.012,386.5,0.015,386.5,0.004,386.5,0.004
387.3,-0.001,387.3,-0.001,387.3,0.001,387.3,0.003,387.3,0.006,387.3,0.011,387.3,0.013,387.3,0.017,387.3,0.005,387.3,0.005
388.1,-0.001,388.1,-0.000,388.1,0.001,388.1,0.003,388.1,0.006,388.1,0.012,388.1,0.015,388.1,0.019,388.1,0.005,388.1,0.005
