A/S Loc,Sample ID,Date,Time,Analyte Name,Elem,Wavelength,Abs (Corr),SD (Corr Abs),RSD (Corr Abs),Concentration_ppm
1,BLANK,3/4/2020,10:28:23 AM,Zn 213.86,Zn,213.86,-0.031477688,0.000717009,2.27783213,NaN
2,Std 1,3/4/2020,10:29:17 AM,Zn 213.86,Zn,213.86,0.056094558,0.000693785,1.236813052,0.447
3,Std 2,3/4/2020,10:30:12 AM,Zn 213.86,Zn,213.86,0.113386309,0.001016649,0.896623846,0.893
4,Std 3,3/4/2020,10:31:07 AM,Zn 213.86,Zn,213.86,0.223142605,0.000758174,0.339771024,1.787
6,Std 4,3/4/2020,10:32:04 AM,Zn 213.86,Zn,213.86,0.361113891,0.001700726,0.470966751,2.978
7,Std 5,3/4/2020,10:32:58 AM,Zn 213.86,Zn,213.86,0.50261594,0.001417313,0.281987368,4.256
5,QC,3/4/2020,10:33:52 AM,Zn 213.86,Zn,213.86,0.260389453,0.000877411,0.33696096,2.1280
14,pre-vape-1,3/4/2020,10:34:49 AM,Zn 213.86,Zn,213.86,0.001745759,0.000971021,55.6217368,NaN
15,pre-vape-2,3/4/2020,10:35:33 AM,Zn 213.86,Zn,213.86,0.001843777,0.000945021,55.6217368,NaN
16,pre-vape-3,3/4/2020,10:36:20 AM,Zn 213.86,Zn,213.86,0.001768664,0.0009921,55.6217368,NaN
17,post-vape-1,3/4/2020,10:37:05 AM,Zn 213.86,Zn,213.86,0.176,0.000518716,54.5749992,NaN
18,post-vape-2,3/4/2020,10:37:59 AM,Zn 213.86,Zn,213.86,0.171,0.000518716,54.5749992,NaN
19,post-vape-3,3/4/2020,10:38:42 AM,Zn 213.86,Zn,213.86,0.183,0.000518716,54.5749992,NaN
