Created as New Dataset,Sample 004 By CHEM 370 Date Monday, March 02 2020
cm-1,A
4000.0,0.0013
3999.0,0.0028
3998.0,0.0013
3997.0,0.0022
3996.0,0.0017000000000000001
3995.0,0.0027
3994.0,0.0021
3993.0,0.0010999999999999998
3992.0,0.0026
3991.0,0.0026
3990.0,0.0021
3989.0,0.0022
3988.0,0.0015999999999999999
3987.0,0.0010999999999999998
3986.0,0.0031
3985.0,0.0015999999999999999
3984.0,0.0021
3983.0,0.0026
3982.0,0.0031
3981.0,0.0021
3980.0,0.0010999999999999998
3979.0,0.0021
3978.0,0.0031
3977.0,0.0021
3976.0,0.0026
3975.0,0.001
3974.0,0.003
3973.0,0.0009
3972.0,0.0014
3971.0,0.0009
3970.0,0.0019
3969.0,0.0014
3968.0,0.0024000000000000002
3967.0,0.0024000000000000002
3966.0,0.0029
3965.0,0.0009
3964.0,0.0019
3963.0,0.0024000000000000002
3962.0,0.0019
3961.0,0.0024000000000000002
3960.0,0.0029
3959.0,0.0029
3958.0,0.0013
3957.0,0.0013
3956.0,0.0007999999999999999
3955.0,0.0007999999999999999
3954.0,0.0013
3953.0,0.0028
3952.0,0.0028
3951.0,0.0028
3950.0,0.0023
3949.0,0.0018
3948.0,0.0029
3947.0,0.0014
3946.0,0.0024000000000000002
3945.0,0.0028
3944.0,0.0028
3943.0,0.0013
3942.0,0.0028
3941.0,0.0023
3940.0,0.0028
3939.0,0.0018
3938.0,0.0023
3937.0,0.0007999999999999999
3936.0,0.0007999999999999999
3935.0,0.0018
3934.0,0.0023
3933.0,0.0019
3932.0,0.0019
3931.0,0.0024000000000000002
3930.0,0.0023
3929.0,0.0028
3928.0,0.0007999999999999999
3927.0,0.0018
3926.0,0.0028
3925.0,0.0007999999999999999
3924.0,0.0007999999999999999
3923.0,0.0017
3922.0,0.0012
3921.0,0.0006999999999999999
3920.0,0.0012
3919.0,0.0021000000000000003
3918.0,0.0016
3917.0,0.0016
3916.0,0.0006000000000000001
3915.0,0.0006000000000000001
3914.0,0.0026
3913.0,0.0026
3912.0,0.0016
3911.0,0.0021000000000000003
3910.0,0.0006000000000000001
3909.0,0.0017
3908.0,0.0027
3907.0,0.0027
3906.0,0.0017
3905.0,0.0027
3904.0,0.0017
3903.0,0.0016
3902.0,0.0006000000000000001
3901.0,0.0016
3900.0,0.0016
3899.0,0.0016
3898.0,0.0016
3897.0,0.0021000000000000003
3896.0,0.0011
3895.0,0.0026
3894.0,0.0016
3893.0,0.0021000000000000003
3892.0,0.002
3891.0,0.0015
3890.0,0.0005
3889.0,0.0025
3888.0,0.0025
3887.0,0.002
3886.0,0.002
3885.0,0.001
3884.0,0.0016
3883.0,0.0016
3882.0,0.0026
3881.0,0.0011
3880.0,0.0006000000000000001
3879.0,0.0025
3878.0,0.002
3877.0,0.0005
3876.0,0.0025
3875.0,0.0021000000000000003
3874.0,0.0021000000000000003
3873.0,0.0026
3872.0,0.0016
3871.0,0.001
3870.0,0.002
3869.0,0.001
3868.0,0.0026
3867.0,0.0006000000000000001
3866.0,0.0011
3865.0,0.001
3864.0,0.0015
3863.0,0.0005
3862.0,0.0025
3861.0,0.001
3860.0,0.0025
3859.0,0.002
3858.0,0.0009
3857.0,0.0019
3856.0,0.0024000000000000002
3855.0,0.0005
3854.0,0.0015
3853.0,0.0005
3852.0,0.002
3851.0,0.0025
3850.0,0.0005
3849.0,0.0005
3848.0,0.0025
3847.0,0.002
3846.0,0.002
3845.0,0.002
3844.0,0.001
3843.0,0.002
3842.0,0.002
3841.0,0.0005
3840.0,0.002
3839.0,0.0011
3838.0,0.0006000000000000001
3837.0,0.0006000000000000001
3836.0,0.0016
3835.0,0.0016
3834.0,0.0021000000000000003
3833.0,0.0006000000000000001
3832.0,0.0005
3831.0,0.001
3830.0,0.002
3829.0,0.0019
3828.0,0.00039999999999999996
3827.0,0.0024000000000000002
3826.0,0.0005
3825.0,0.001
3824.0,0.0015
3823.0,0.002
3822.0,0.002
3821.0,0.0025
3820.0,0.001
3819.0,0.0015
3818.0,0.0005
3817.0,0.0024000000000000002
3816.0,0.00039999999999999996
3815.0,0.0009
3814.0,0.0009
3813.0,0.0014
3812.0,0.0009
3811.0,0.0019
3810.0,0.0024000000000000002
3809.0,0.0019
3808.0,0.0014
3807.0,0.00039999999999999996
3806.0,0.0014
3805.0,0.0005
3804.0,0.002
3803.0,0.0005
3802.0,0.0005
3801.0,0.0011
3800.0,0.0021000000000000003
3799.0,0.0021000000000000003
3798.0,0.0006000000000000001
3797.0,0.001
3796.0,0.0005
3795.0,0.0015
3794.0,0.00039999999999999996
3793.0,0.0009
3792.0,0.0009
3791.0,0.0024000000000000002
3790.0,0.001
3789.0,0.002
3788.0,0.0015
3787.0,0.0025
3786.0,0.002
3785.0,0.001
3784.0,0.002
3783.0,0.0005
3782.0,0.001
3781.0,0.0021000000000000003
3780.0,0.0011
3779.0,0.0021000000000000003
3778.0,0.001
3777.0,0.0015
3776.0,0.001
3775.0,0.0015
3774.0,0.0015
3773.0,0.0021000000000000003
3772.0,0.0006000000000000001
3771.0,0.0021000000000000003
3770.0,0.0026
3769.0,0.001
3768.0,0.0015
3767.0,0.0005
3766.0,0.0015
3765.0,0.0005
3764.0,0.001
3763.0,0.0026
3762.0,0.0016
3761.0,0.0006999999999999999
3760.0,0.0021999999999999997
3759.0,0.0021000000000000003
3758.0,0.0011
3757.0,0.0016
3756.0,0.0016
3755.0,0.0016
3754.0,0.0011
3753.0,0.0027
3752.0,0.0017
3751.0,0.0012
3750.0,0.0018
3749.0,0.0028
3748.0,0.0007999999999999999
3747.0,0.0013
3746.0,0.0013
3745.0,0.0023
3744.0,0.0013
3743.0,0.0013
3742.0,0.0006999999999999999
3741.0,0.0021999999999999997
3740.0,0.0028
3739.0,0.0023
3738.0,0.0023
3737.0,0.0007999999999999999
3736.0,0.0023
3735.0,0.0023
3734.0,0.0028
3733.0,0.0007999999999999999
3732.0,0.0013
3731.0,0.0007999999999999999
3730.0,0.0023
3729.0,0.0023
3728.0,0.0007999999999999999
3727.0,0.0023
3726.0,0.0023
3725.0,0.0023
3724.0,0.0029
3723.0,0.0029
3722.0,0.0019
3721.0,0.0009
3720.0,0.0024000000000000002
3719.0,0.002
3718.0,0.0014
3717.0,0.0009
3716.0,0.0024000000000000002
3715.0,0.0009
3714.0,0.0024000000000000002
3713.0,0.0024000000000000002
3712.0,0.0014
3711.0,0.0019
3710.0,0.0009
3709.0,0.0029
3708.0,0.0019
3707.0,0.0009
3706.0,0.0024000000000000002
3705.0,0.003
3704.0,0.001
3703.0,0.0015
3702.0,0.0026
3701.0,0.0026
3700.0,0.0026
3699.0,0.0026
3698.0,0.0015
3697.0,0.001
3696.0,0.0021
3695.0,0.0021
3694.0,0.0021
3693.0,0.0032
3692.0,0.0032
3691.0,0.0018
3690.0,0.0033
3689.0,0.0013
3688.0,0.0018
3687.0,0.0023
3686.0,0.0013999999999999998
3685.0,0.0013999999999999998
3684.0,0.003
3683.0,0.0025
3682.0,0.0025
3681.0,0.002
3680.0,0.0025
3679.0,0.0025
3678.0,0.0026
3677.0,0.0031
3676.0,0.0027
3675.0,0.0023
3674.0,0.0018
3673.0,0.0029
3672.0,0.0034
3671.0,0.003
3670.0,0.0025
3669.0,0.004
3668.0,0.0036
3667.0,0.0021
3666.0,0.0033
3665.0,0.004399999999999999
3664.0,0.004399999999999999
3663.0,0.004
3662.0,0.0045000000000000005
3661.0,0.0035
3660.0,0.003
3659.0,0.0035
3658.0,0.0036
3657.0,0.0043
3656.0,0.0034
3655.0,0.0045000000000000005
3654.0,0.0036000000000000003
3653.0,0.0042
3652.0,0.0033
3651.0,0.0045
3650.0,0.0051
3649.0,0.0036
3648.0,0.0051
3647.0,0.0037
3646.0,0.0037999999999999996
3645.0,0.0039
3644.0,0.0045000000000000005
3643.0,0.0041
3642.0,0.0042
3641.0,0.0048000000000000004
3640.0,0.005900000000000001
3639.0,0.0065
3638.0,0.0066
3637.0,0.0063
3636.0,0.0054
3635.0,0.007
3634.0,0.0051
3633.0,0.0072
3632.0,0.0053
3631.0,0.0054
3630.0,0.0060999999999999995
3629.0,0.0079
3628.0,0.007600000000000001
3627.0,0.0073
3626.0,0.0064
3625.0,0.0066
3624.0,0.0068
3623.0,0.0079
3622.0,0.0081
3621.0,0.007200000000000001
3620.0,0.0084
3619.0,0.0091
3618.0,0.0088
3617.0,0.009999999999999998
3616.0,0.0097
3615.0,0.0095
3614.0,0.0087
3613.0,0.009000000000000001
3612.0,0.0102
3611.0,0.009500000000000001
3610.0,0.010199999999999999
3609.0,0.0115
3608.0,0.012299999999999998
3607.0,0.011
3606.0,0.0112
3605.0,0.012400000000000001
3604.0,0.0126
3603.0,0.0114
3602.0,0.0137
3601.0,0.014100000000000001
3600.0,0.013900000000000001
3599.0,0.0142
3598.0,0.014
3597.0,0.0148
3596.0,0.013600000000000001
3595.0,0.0139
3594.0,0.0163
3593.0,0.015099999999999999
3592.0,0.0149
3591.0,0.0168
3590.0,0.0166
3589.0,0.016
3588.0,0.0165
3587.0,0.0185
3586.0,0.0188
3585.0,0.0177
3584.0,0.019
3583.0,0.0204
3582.0,0.0202
3581.0,0.0196
3580.0,0.02
3579.0,0.0219
3578.0,0.0203
3577.0,0.0208
3576.0,0.0217
3575.0,0.0222
3574.0,0.0231
3573.0,0.0241
3572.0,0.023
3571.0,0.0239
3570.0,0.0258
3569.0,0.0243
3568.0,0.0259
3567.0,0.027
3566.0,0.0275
3565.0,0.0279
3564.0,0.0278
3563.0,0.0278
3562.0,0.0278
3561.0,0.0294
3560.0,0.0309
3559.0,0.0294
3558.0,0.0319
3557.0,0.030399999999999996
3556.0,0.0314
3555.0,0.0319
3554.0,0.034
3553.0,0.0326
3552.0,0.0347
3551.0,0.0353
3550.0,0.0358
3549.0,0.0368
3548.0,0.0369
3547.0,0.036
3546.0,0.0387
3545.0,0.0378
3544.0,0.0395
3543.0,0.0391
3542.0,0.0407
3541.0,0.0398
3540.0,0.0404
3539.0,0.041
3538.0,0.0417
3537.0,0.0434
3536.0,0.0446
3535.0,0.0438
3534.0,0.0455
3533.0,0.0451
3532.0,0.0478
3531.0,0.0484
3530.0,0.047599999999999996
3529.0,0.0484
3528.0,0.0491
3527.0,0.0514
3526.0,0.0506
3525.0,0.0514
3524.0,0.052199999999999996
3523.0,0.054
3522.0,0.0547
3521.0,0.0549
3520.0,0.0547
3519.0,0.0564
3518.0,0.0581
3517.0,0.0584
3516.0,0.0582
3515.0,0.059
3514.0,0.0603
3513.0,0.0621
3512.0,0.060899999999999996
3511.0,0.0632
3510.0,0.0635
3509.0,0.0648
3508.0,0.0662
3507.0,0.067
3506.0,0.0673
3505.0,0.06659999999999999
3504.0,0.0685
3503.0,0.0688
3502.0,0.0692
3501.0,0.071
3500.0,0.0719
3499.0,0.0733
3498.0,0.0742
3497.0,0.0736
3496.0,0.075
3495.0,0.0774
3494.0,0.0768
3493.0,0.0771
3492.0,0.078
3491.0,0.0799
3490.0,0.0798
3489.0,0.0807
3488.0,0.0835
3487.0,0.0824
3486.0,0.0849
3485.0,0.0848
3484.0,0.0868
3483.0,0.0862
3482.0,0.0892
3481.0,0.0901
3480.0,0.0901
3479.0,0.0915
3478.0,0.0919
3477.0,0.0929
3476.0,0.0933
3475.0,0.09570000000000001
3474.0,0.0957
3473.0,0.0967
3472.0,0.0967
3471.0,0.0977
3470.0,0.1001
3469.0,0.1001
3468.0,0.1021
3467.0,0.1016
3466.0,0.103
3465.0,0.1055
3464.0,0.1054
3463.0,0.1059
