Created as New Dataset,Sample 003 By CHEM 370 Date Monday, March 02 2020
cm-1,A
4000.00,0.0023
3999.00,0.0023
3998.00,0.0023
3997.00,0.0022
3996.00,0.0022
3995.00,0.0022
3994.00,0.0021
3993.00,0.0021
3992.00,0.0021
3991.00,0.0021
3990.00,0.0021
3989.00,0.0022
3988.00,0.0021
3987.00,0.0021
3986.00,0.0021
3985.00,0.0021
3984.00,0.0021
3983.00,0.0021
3982.00,0.0021
3981.00,0.0021
3980.00,0.0021
3979.00,0.0021
3978.00,0.0021
3977.00,0.0021
3976.00,0.0021
3975.00,0.0020
3974.00,0.0020
3973.00,0.0019
3972.00,0.0019
3971.00,0.0019
3970.00,0.0019
3969.00,0.0019
3968.00,0.0019
3967.00,0.0019
3966.00,0.0019
3965.00,0.0019
3964.00,0.0019
3963.00,0.0019
3962.00,0.0019
3961.00,0.0019
3960.00,0.0019
3959.00,0.0019
3958.00,0.0018
3957.00,0.0018
3956.00,0.0018
3955.00,0.0018
3954.00,0.0018
3953.00,0.0018
3952.00,0.0018
3951.00,0.0018
3950.00,0.0018
3949.00,0.0018
3948.00,0.0019
3947.00,0.0019
3946.00,0.0019
3945.00,0.0018
3944.00,0.0018
3943.00,0.0018
3942.00,0.0018
3941.00,0.0018
3940.00,0.0018
3939.00,0.0018
3938.00,0.0018
3937.00,0.0018
3936.00,0.0018
3935.00,0.0018
3934.00,0.0018
3933.00,0.0019
3932.00,0.0019
3931.00,0.0019
3930.00,0.0018
3929.00,0.0018
3928.00,0.0018
3927.00,0.0018
3926.00,0.0018
3925.00,0.0018
3924.00,0.0018
3923.00,0.0017
3922.00,0.0017
3921.00,0.0017
3920.00,0.0017
3919.00,0.0016
3918.00,0.0016
3917.00,0.0016
3916.00,0.0016
3915.00,0.0016
3914.00,0.0016
3913.00,0.0016
3912.00,0.0016
3911.00,0.0016
3910.00,0.0016
3909.00,0.0017
3908.00,0.0017
3907.00,0.0017
3906.00,0.0017
3905.00,0.0017
3904.00,0.0017
3903.00,0.0016
3902.00,0.0016
3901.00,0.0016
3900.00,0.0016
3899.00,0.0016
3898.00,0.0016
3897.00,0.0016
3896.00,0.0016
3895.00,0.0016
3894.00,0.0016
3893.00,0.0016
3892.00,0.0015
3891.00,0.0015
3890.00,0.0015
3889.00,0.0015
3888.00,0.0015
3887.00,0.0015
3886.00,0.0015
3885.00,0.0015
3884.00,0.0016
3883.00,0.0016
3882.00,0.0016
3881.00,0.0016
3880.00,0.0016
3879.00,0.0015
3878.00,0.0015
3877.00,0.0015
3876.00,0.0015
3875.00,0.0016
3874.00,0.0016
3873.00,0.0016
3872.00,0.0016
3871.00,0.0015
3870.00,0.0015
3869.00,0.0015
3868.00,0.0016
3867.00,0.0016
3866.00,0.0016
3865.00,0.0015
3864.00,0.0015
3863.00,0.0015
3862.00,0.0015
3861.00,0.0015
3860.00,0.0015
3859.00,0.0015
3858.00,0.0014
3857.00,0.0014
3856.00,0.0014
3855.00,0.0015
3854.00,0.0015
3853.00,0.0015
3852.00,0.0015
3851.00,0.0015
3850.00,0.0015
3849.00,0.0015
3848.00,0.0015
3847.00,0.0015
3846.00,0.0015
3845.00,0.0015
3844.00,0.0015
3843.00,0.0015
3842.00,0.0015
3841.00,0.0015
3840.00,0.0015
3839.00,0.0016
3838.00,0.0016
3837.00,0.0016
3836.00,0.0016
3835.00,0.0016
3834.00,0.0016
3833.00,0.0016
3832.00,0.0015
3831.00,0.0015
3830.00,0.0015
3829.00,0.0014
3828.00,0.0014
3827.00,0.0014
3826.00,0.0015
3825.00,0.0015
3824.00,0.0015
3823.00,0.0015
3822.00,0.0015
3821.00,0.0015
3820.00,0.0015
3819.00,0.0015
3818.00,0.0015
3817.00,0.0014
3816.00,0.0014
3815.00,0.0014
3814.00,0.0014
3813.00,0.0014
3812.00,0.0014
3811.00,0.0014
3810.00,0.0014
3809.00,0.0014
3808.00,0.0014
3807.00,0.0014
3806.00,0.0014
3805.00,0.0015
3804.00,0.0015
3803.00,0.0015
3802.00,0.0015
3801.00,0.0016
3800.00,0.0016
3799.00,0.0016
3798.00,0.0016
3797.00,0.0015
3796.00,0.0015
3795.00,0.0015
3794.00,0.0014
3793.00,0.0014
3792.00,0.0014
3791.00,0.0014
3790.00,0.0015
3789.00,0.0015
3788.00,0.0015
3787.00,0.0015
3786.00,0.0015
3785.00,0.0015
3784.00,0.0015
3783.00,0.0015
3782.00,0.0015
3781.00,0.0016
3780.00,0.0016
3779.00,0.0016
3778.00,0.0015
3777.00,0.0015
3776.00,0.0015
3775.00,0.0015
3774.00,0.0015
3773.00,0.0016
3772.00,0.0016
3771.00,0.0016
3770.00,0.0016
3769.00,0.0015
3768.00,0.0015
3767.00,0.0015
3766.00,0.0015
3765.00,0.0015
3764.00,0.0015
3763.00,0.0016
3762.00,0.0016
3761.00,0.0017
3760.00,0.0017
3759.00,0.0016
3758.00,0.0016
3757.00,0.0016
3756.00,0.0016
3755.00,0.0016
3754.00,0.0016
3753.00,0.0017
3752.00,0.0017
3751.00,0.0017
3750.00,0.0018
3749.00,0.0018
3748.00,0.0018
3747.00,0.0018
3746.00,0.0018
3745.00,0.0018
3744.00,0.0018
3743.00,0.0018
3742.00,0.0017
3741.00,0.0017
3740.00,0.0018
3739.00,0.0018
3738.00,0.0018
3737.00,0.0018
3736.00,0.0018
3735.00,0.0018
3734.00,0.0018
3733.00,0.0018
3732.00,0.0018
3731.00,0.0018
3730.00,0.0018
3729.00,0.0018
3728.00,0.0018
3727.00,0.0018
3726.00,0.0018
3725.00,0.0018
3724.00,0.0019
3723.00,0.0019
3722.00,0.0019
3721.00,0.0019
3720.00,0.0019
3719.00,0.0020
3718.00,0.0019
3717.00,0.0019
3716.00,0.0019
3715.00,0.0019
3714.00,0.0019
3713.00,0.0019
3712.00,0.0019
3711.00,0.0019
3710.00,0.0019
3709.00,0.0019
3708.00,0.0019
3707.00,0.0019
3706.00,0.0019
3705.00,0.0020
3704.00,0.0020
3703.00,0.0020
3702.00,0.0021
3701.00,0.0021
3700.00,0.0021
3699.00,0.0021
3698.00,0.0020
3697.00,0.0020
3696.00,0.0021
3695.00,0.0021
3694.00,0.0021
3693.00,0.0022
3692.00,0.0022
3691.00,0.0023
3690.00,0.0023
3689.00,0.0023
3688.00,0.0023
3687.00,0.0023
3686.00,0.0024
3685.00,0.0024
3684.00,0.0025
3683.00,0.0025
3682.00,0.0025
3681.00,0.0025
3680.00,0.0025
3679.00,0.0025
3678.00,0.0026
3677.00,0.0026
3676.00,0.0027
3675.00,0.0028
3674.00,0.0028
3673.00,0.0029
3672.00,0.0029
3671.00,0.0030
3670.00,0.0030
3669.00,0.0030
3668.00,0.0031
3667.00,0.0031
3666.00,0.0033
3665.00,0.0034
3664.00,0.0034
3663.00,0.0035
3662.00,0.0035
3661.00,0.0035
3660.00,0.0035
3659.00,0.0035
3658.00,0.0036
3657.00,0.0038
3656.00,0.0039
3655.00,0.0040
3654.00,0.0041
3653.00,0.0042
3652.00,0.0043
3651.00,0.0045
3650.00,0.0046
3649.00,0.0046
3648.00,0.0046
3647.00,0.0047
3646.00,0.0048
3645.00,0.0049
3644.00,0.0050
3643.00,0.0051
3642.00,0.0052
3641.00,0.0053
3640.00,0.0054
3639.00,0.0055
3638.00,0.0056
3637.00,0.0058
3636.00,0.0059
3635.00,0.0060
3634.00,0.0061
3633.00,0.0062
3632.00,0.0063
3631.00,0.0064
3630.00,0.0066
3629.00,0.0069
3628.00,0.0071
3627.00,0.0073
3626.00,0.0074
3625.00,0.0076
3624.00,0.0078
3623.00,0.0079
3622.00,0.0081
3621.00,0.0082
3620.00,0.0084
3619.00,0.0086
3618.00,0.0088
3617.00,0.0090
3616.00,0.0092
3615.00,0.0095
3614.00,0.0097
3613.00,0.0100
3612.00,0.0102
3611.00,0.0105
3610.00,0.0107
3609.00,0.0110
3608.00,0.0113
3607.00,0.0115
3606.00,0.0117
3605.00,0.0119
3604.00,0.0121
3603.00,0.0124
3602.00,0.0127
3601.00,0.0131
3600.00,0.0134
3599.00,0.0137
3598.00,0.0140
3597.00,0.0143
3596.00,0.0146
3595.00,0.0149
3594.00,0.0153
3593.00,0.0156
3592.00,0.0159
3591.00,0.0163
3590.00,0.0166
3589.00,0.0170
3588.00,0.0175
3587.00,0.0180
3586.00,0.0183
3585.00,0.0187
3584.00,0.0190
3583.00,0.0194
3582.00,0.0197
3581.00,0.0201
3580.00,0.0205
3579.00,0.0209
3578.00,0.0213
3577.00,0.0218
3576.00,0.0222
3575.00,0.0227
3574.00,0.0231
3573.00,0.0236
3572.00,0.0240
3571.00,0.0244
3570.00,0.0248
3569.00,0.0253
3568.00,0.0259
3567.00,0.0265
3566.00,0.0270
3565.00,0.0274
3564.00,0.0278
3563.00,0.0283
3562.00,0.0288
3561.00,0.0294
3560.00,0.0299
3559.00,0.0304
3558.00,0.0309
3557.00,0.0314
3556.00,0.0319
3555.00,0.0324
3554.00,0.0330
3553.00,0.0336
3552.00,0.0342
3551.00,0.0348
3550.00,0.0353
3549.00,0.0358
3548.00,0.0364
3547.00,0.0370
3546.00,0.0377
3545.00,0.0383
3544.00,0.0390
3543.00,0.0396
3542.00,0.0402
3541.00,0.0408
3540.00,0.0414
3539.00,0.0420
3538.00,0.0427
3537.00,0.0434
3536.00,0.0441
3535.00,0.0448
3534.00,0.0455
3533.00,0.0461
3532.00,0.0468
3531.00,0.0474
3530.00,0.0481
3529.00,0.0489
3528.00,0.0496
3527.00,0.0504
3526.00,0.0511
3525.00,0.0519
3524.00,0.0527
3523.00,0.0535
3522.00,0.0542
3521.00,0.0549
3520.00,0.0557
3519.00,0.0564
3518.00,0.0571
3517.00,0.0579
3516.00,0.0587
3515.00,0.0595
3514.00,0.0603
3513.00,0.0611
3512.00,0.0619
3511.00,0.0627
3510.00,0.0635
3509.00,0.0643
3508.00,0.0652
3507.00,0.0660
3506.00,0.0668
3505.00,0.0676
3504.00,0.0685
3503.00,0.0693
3502.00,0.0702
3501.00,0.0710
3500.00,0.0719
3499.00,0.0728
3498.00,0.0737
3497.00,0.0746
3496.00,0.0755
3495.00,0.0764
3494.00,0.0773
3493.00,0.0781
3492.00,0.0790
3491.00,0.0799
3490.00,0.0808
3489.00,0.0817
3488.00,0.0825
3487.00,0.0834
3486.00,0.0844
3485.00,0.0853
3484.00,0.0863
3483.00,0.0872
3482.00,0.0882
3481.00,0.0891
3480.00,0.0901
3479.00,0.0910
3478.00,0.0919
3477.00,0.0929
3476.00,0.0938
3475.00,0.0947
3474.00,0.0957
3473.00,0.0967
3472.00,0.0977
3471.00,0.0987
3470.00,0.0996
3469.00,0.1006
3468.00,0.1016
