Created as New Dataset,Sample 005 By CHEM 370 Date Monday, March 02 2020
cm-1,A
4000.00,0.0003
3999.00,0.0003
3998.00,0.0003
3997.00,0.0003
3996.00,0.0003
3995.00,0.0003
3994.00,0.0003
3993.00,0.0003
3992.00,0.0003
3991.00,0.0003
3990.00,0.0003
3989.00,0.0002
3988.00,0.0002
3987.00,0.0003
3986.00,0.0003
3985.00,0.0003
3984.00,0.0003
3983.00,0.0003
3982.00,0.0002
3981.00,0.0002
3980.00,0.0001
3979.00,0.0001
3978.00,0.0001
3977.00,0.0001
3976.00,0.0001
3975.00,0.0002
3974.00,0.0002
3973.00,0.0001
3972.00,0.0001
3971.00,0.0001
3970.00,0.0001
3969.00,0.0001
3968.00,0.0001
3967.00,0.0001
3966.00,0.0001
3965.00,0.0001
3964.00,0.0001
3963.00,0.0001
3962.00,0.0001
3961.00,0.0001
3960.00,0.0001
3959.00,0.0001
3958.00,0.0001
3957.00,0.0000
3956.00,0.0000
3955.00,0.0000
3954.00,0.0000
3953.00,0.0000
3952.00,0.0000
3951.00,-0.0000
3950.00,-0.0000
3949.00,-0.0001
3948.00,-0.0001
3947.00,-0.0001
3946.00,-0.0000
3945.00,-0.0000
3944.00,-0.0001
3943.00,-0.0001
3942.00,-0.0001
3941.00,-0.0001
3940.00,-0.0000
3939.00,-0.0000
3938.00,-0.0000
3937.00,-0.0000
3936.00,-0.0000
3935.00,0.0000
3934.00,0.0000
3933.00,-0.0000
3932.00,-0.0000
3931.00,-0.0000
3930.00,-0.0001
3929.00,-0.0001
3928.00,-0.0001
3927.00,-0.0001
3926.00,-0.0001
3925.00,-0.0001
3924.00,-0.0001
3923.00,-0.0001
3922.00,-0.0002
3921.00,-0.0002
3920.00,-0.0002
3919.00,-0.0002
3918.00,-0.0002
3917.00,-0.0001
3916.00,-0.0001
3915.00,-0.0000
3914.00,-0.0000
3913.00,-0.0000
3912.00,-0.0000
3911.00,-0.0001
3910.00,-0.0001
3909.00,-0.0002
3908.00,-0.0002
3907.00,-0.0002
3906.00,-0.0003
3905.00,-0.0002
3904.00,-0.0002
3903.00,-0.0002
3902.00,-0.0002
3901.00,-0.0002
3900.00,-0.0003
3899.00,-0.0003
3898.00,-0.0003
3897.00,-0.0003
3896.00,-0.0003
3895.00,-0.0002
3894.00,-0.0002
3893.00,-0.0002
3892.00,-0.0003
3891.00,-0.0003
3890.00,-0.0003
3889.00,-0.0003
3888.00,-0.0003
3887.00,-0.0002
3886.00,-0.0002
3885.00,-0.0002
3884.00,-0.0002
3883.00,-0.0002
3882.00,-0.0003
3881.00,-0.0003
3880.00,-0.0003
3879.00,-0.0003
3878.00,-0.0003
3877.00,-0.0003
3876.00,-0.0003
3875.00,-0.0003
3874.00,-0.0004
3873.00,-0.0004
3872.00,-0.0004
3871.00,-0.0004
3870.00,-0.0004
3869.00,-0.0004
3868.00,-0.0004
3867.00,-0.0003
3866.00,-0.0003
3865.00,-0.0003
3864.00,-0.0003
3863.00,-0.0003
3862.00,-0.0003
3861.00,-0.0002
3860.00,-0.0002
3859.00,-0.0002
3858.00,-0.0003
3857.00,-0.0003
3856.00,-0.0003
3855.00,-0.0003
3854.00,-0.0004
3853.00,-0.0004
3852.00,-0.0004
3851.00,-0.0004
3850.00,-0.0003
3849.00,-0.0003
3848.00,-0.0003
3847.00,-0.0003
3846.00,-0.0003
3845.00,-0.0003
3844.00,-0.0003
3843.00,-0.0003
3842.00,-0.0003
3841.00,-0.0003
3840.00,-0.0003
3839.00,-0.0003
3838.00,-0.0003
3837.00,-0.0002
3836.00,-0.0002
3835.00,-0.0002
3834.00,-0.0002
3833.00,-0.0003
3832.00,-0.0003
3831.00,-0.0003
3830.00,-0.0003
3829.00,-0.0003
3828.00,-0.0003
3827.00,-0.0003
3826.00,-0.0003
3825.00,-0.0003
3824.00,-0.0004
3823.00,-0.0003
3822.00,-0.0003
3821.00,-0.0003
3820.00,-0.0003
3819.00,-0.0003
3818.00,-0.0003
3817.00,-0.0003
3816.00,-0.0003
3815.00,-0.0003
3814.00,-0.0003
3813.00,-0.0003
3812.00,-0.0003
3811.00,-0.0003
3810.00,-0.0003
3809.00,-0.0003
3808.00,-0.0003
3807.00,-0.0004
3806.00,-0.0004
3805.00,-0.0004
3804.00,-0.0004
3803.00,-0.0003
3802.00,-0.0003
3801.00,-0.0003
3800.00,-0.0003
3799.00,-0.0003
3798.00,-0.0003
3797.00,-0.0004
3796.00,-0.0004
3795.00,-0.0004
3794.00,-0.0003
3793.00,-0.0003
3792.00,-0.0004
3791.00,-0.0004
3790.00,-0.0004
3789.00,-0.0004
3788.00,-0.0004
3787.00,-0.0004
3786.00,-0.0004
3785.00,-0.0003
3784.00,-0.0003
3783.00,-0.0002
3782.00,-0.0002
3781.00,-0.0001
3780.00,-0.0001
3779.00,-0.0002
3778.00,-0.0002
3777.00,-0.0002
3776.00,-0.0002
3775.00,-0.0003
3774.00,-0.0003
3773.00,-0.0003
3772.00,-0.0003
3771.00,-0.0002
3770.00,-0.0002
3769.00,-0.0002
3768.00,-0.0002
3767.00,-0.0002
3766.00,-0.0002
3765.00,-0.0003
3764.00,-0.0003
3763.00,-0.0003
3762.00,-0.0003
3761.00,-0.0003
3760.00,-0.0003
3759.00,-0.0003
3758.00,-0.0003
3757.00,-0.0003
3756.00,-0.0003
3755.00,-0.0003
3754.00,-0.0003
3753.00,-0.0003
3752.00,-0.0003
3751.00,-0.0003
3750.00,-0.0003
3749.00,-0.0003
3748.00,-0.0003
3747.00,-0.0003
3746.00,-0.0003
3745.00,-0.0002
3744.00,-0.0002
3743.00,-0.0002
3742.00,-0.0002
3741.00,-0.0002
3740.00,-0.0002
3739.00,-0.0002
3738.00,-0.0002
3737.00,-0.0001
3736.00,-0.0001
3735.00,-0.0001
3734.00,-0.0001
3733.00,-0.0001
3732.00,-0.0001
3731.00,-0.0001
3730.00,-0.0001
3729.00,-0.0001
3728.00,-0.0001
3727.00,-0.0001
3726.00,-0.0000
3725.00,-0.0000
3724.00,-0.0000
3723.00,-0.0001
3722.00,-0.0001
3721.00,-0.0002
3720.00,-0.0002
3719.00,-0.0002
3718.00,-0.0002
3717.00,-0.0002
3716.00,-0.0002
3715.00,-0.0001
3714.00,-0.0001
3713.00,-0.0001
3712.00,-0.0001
3711.00,-0.0001
3710.00,-0.0001
3709.00,-0.0001
3708.00,-0.0001
3707.00,-0.0001
3706.00,-0.0000
3705.00,0.0000
3704.00,0.0000
3703.00,0.0000
3702.00,-0.0000
3701.00,-0.0000
3700.00,-0.0000
3699.00,0.0000
3698.00,0.0000
3697.00,0.0001
3696.00,0.0001
3695.00,0.0001
3694.00,0.0001
3693.00,0.0000
3692.00,-0.0000
3691.00,-0.0000
3690.00,0.0000
3689.00,0.0001
3688.00,0.0001
3687.00,0.0001
3686.00,0.0001
3685.00,0.0001
3684.00,0.0002
3683.00,0.0002
3682.00,0.0002
3681.00,0.0003
3680.00,0.0003
3679.00,0.0003
3678.00,0.0003
3677.00,0.0004
3676.00,0.0004
3675.00,0.0004
3674.00,0.0004
3673.00,0.0004
3672.00,0.0003
3671.00,0.0003
3670.00,0.0004
3669.00,0.0005
3668.00,0.0005
3667.00,0.0005
3666.00,0.0005
3665.00,0.0005
3664.00,0.0005
3663.00,0.0006
3662.00,0.0006
3661.00,0.0007
3660.00,0.0007
3659.00,0.0007
3658.00,0.0008
3657.00,0.0008
3656.00,0.0009
3655.00,0.0009
3654.00,0.0010
3653.00,0.0010
3652.00,0.0011
3651.00,0.0011
3650.00,0.0012
3649.00,0.0012
3648.00,0.0013
3647.00,0.0013
3646.00,0.0014
3645.00,0.0014
3644.00,0.0015
3643.00,0.0015
3642.00,0.0015
3641.00,0.0016
3640.00,0.0017
3639.00,0.0018
3638.00,0.0019
3637.00,0.0020
3636.00,0.0021
3635.00,0.0021
3634.00,0.0022
3633.00,0.0023
3632.00,0.0024
3631.00,0.0025
3630.00,0.0026
3629.00,0.0027
3628.00,0.0028
3627.00,0.0029
