Ion [m/z],Intensity [counts]
Scan 1136
32.0,3125.0
36.0,196.0
37.0,2194.0
38.0,4663.0
39.0,9255.0
40.0,2293.0
41.0,1410.0
41.9,241.0
43.0,757.0
44.0,6385.0
44.8,307.0
45.4,588.0
49.0,1160.0
50.0,6414.0
51.0,6222.0
52.0,3719.0
53.0,495.0
54.1,451.0
57.5,1724.0
58.5,12689.0
60.0,501.0
61.0,4549.0
62.0,11841.0
63.0,26136.0
64.0,9348.0
65.0,2508.0
65.9,613.0
66.9,485.0
72.9,552.0
74.0,2495.0
75.0,2189.0
76.0,1970.0
76.9,934.0
78.0,1997.0
79.0,209.0
83.9,551.0
85.0,1747.0
86.0,3319.0
87.0,4333.0
88.0,3399.0
89.0,62272.0
90.0,76592.0
91.0,6286.0
92.1,463.0
111.0,157.0
114.0,1307.0
115.0,1106.0
116.0,15703.0
117.0,190528.0
118.0,17704.0
119.0,821.0

